asin,avg_rating,review_count
B004S8F7QM,4.858718487394958,1904
B000YDDF6O,4.693860386879731,1189
B010TQY7A8,4.490669593852909,911
B00005C5H4,4.819693094629156,782
B004V3PS72,3.553745928338762,614
B01MRG7T0D,4.536824877250409,611
B01AC7SF7K,4.770689655172414,580
B000B6ACGA,3.31239092495637,573
B0157IHJMQ,4.366024518388792,571
B00AU56C5W,4.695729537366548,562
B00ABA0ZOA,4.75,556
B0120XRWLE,4.52972972972973,555
B00000IV35,4.806083650190114,526
B001CJVTLC,2.9923809523809526,525
B00A80X19E,3.9296875,512
B003I64OT6,4.8081023454157785,469
B00D8STBHY,4.6581196581196584,468
B00APVXSM6,4.802150537634408,465
0975277324,4.7678958785249455,461
B00000IVAK,4.808656036446469,439
B00MNG37C2,3.8891454965357966,433
8499000606,4.18287037037037,432
B011PLVBJG,4.664335664335664,429
B007EA4UBY,4.622065727699531,426
B00DW1JT5G,4.321428571428571,420
B00FZMDAO6,4.665847665847666,407
B00NQQTZCO,4.842892768079801,401
B01L0MJX0E,3.4271356783919598,398
B00008BFZH,4.754430379746835,395
B00G70DFC2,4.251269035532995,394
B00JM5GW10,4.091603053435114,393
1933054395,4.801033591731266,387
B01C5A2WJO,4.434108527131783,387
B014Q1XX9S,4.827676240208877,383
B00000IZJB,4.664893617021277,376
B07H2CKCNG,4.650429799426934,349
B07FYF5DCK,4.358166189111748,349
B00PYLU3GG,4.312320916905444,349
B086VB89L8,4.356521739130435,345
B000FK3WDC,3.2790697674418605,344
B077Z1R28P,4.886297376093294,343
B00SAUAP5C,4.434402332361516,343
B07B6NP36Q,3.9530791788856305,341
B00U26V4VQ,4.60117302052786,341
B004UU9ZB6,4.463126843657817,339
B07MNMT3M7,4.135135135135135,333
B001I912SQ,4.382530120481928,332
B01LQCIL88,3.7300613496932513,326
B01256V578,4.579439252336448,321
B00NHQFA1I,4.697819314641745,321
B000PEOMC8,4.196875,320
B09DY34ZX3,1.6940063091482649,317
B00000K3BR,4.401273885350318,314
B074PYYM51,4.39171974522293,314
B078WKT1HL,4.365384615384615,312
B012D3PN7G,4.455128205128205,312
B00592BOAO,4.435064935064935,308
B00GQ4PBR6,3.6319218241042344,307
1932188126,4.823529411764706,306
B008CDR7LW,4.396039603960396,303
B00YTWEMUO,4.453642384105961,302
B000OV0X4S,3.11,300
B000EULZDM,4.219594594594595,296
B00GGY85EC,3.783050847457627,295
B0160JB7IS,3.922033898305085,295
B00F4WMAI4,4.128813559322034,295
B002J4U8M0,4.047781569965871,293
B00000ISC5,4.147260273972603,292
B01CIWDDMO,4.2534246575342465,292
B0006B2Q50,4.215753424657534,292
B005K0B8WO,4.628865979381444,291
B001SN8GF4,4.714776632302406,291
B00CS16EJU,3.58477508650519,289
B00A2HD40E,4.760416666666667,288
B07WH2YV47,4.693379790940766,287
B001BKX0V4,4.52280701754386,285
B00N1EJXUU,4.623239436619718,284
B01DAPMQO4,4.232394366197183,284
B000KHZ044,3.9184397163120566,282
B004NCEL4M,4.284697508896797,281
B082KFTF41,4.4071428571428575,280
B000068CKY,4.397849462365591,279
B0077Q0NP2,4.953237410071942,278
B01HPM8MMI,4.79783393501805,277
B000VO3GPG,4.7644927536231885,276
B00000IZKX,3.901818181818182,275
B01MQ3YP7Y,4.458181818181818,275
B00OTJ5HZQ,3.5145985401459856,274
B0042F99PG,4.501831501831502,273
0976990709,4.5625,272
B00004TZY8,4.734317343173432,271
B07LG9CGF1,4.0962962962962965,270
B071X8S8WQ,4.5018587360594795,269
B076PRWVFG,4.4664179104477615,268
B000N178E2,4.548507462686567,268
B07V3CLLCV,4.382022471910112,267
B004AHMCMI,4.647940074906367,267
B07VCD1SRL,4.6254681647940075,267
B00000J0S3,4.296992481203008,266
B004A8ZRB0,4.12406015037594,266
B003NSBMUI,4.460377358490566,265
B07F38CPM1,4.609848484848484,264
B00006IFH0,4.776515151515151,264
B000F9O85E,4.143939393939394,264
B085ZH5VGR,4.380228136882129,263
B003HC9734,4.600760456273764,263
B002JCS5JA,4.0534351145038165,262
B007XVYSDE,4.35632183908046,261
B083KBNJ63,4.1,260
B005HIOVOG,4.68359375,256
B00F4WMAAW,3.992156862745098,255
B00D7OAOYI,3.627450980392157,255
B00CI6J5JQ,4.803921568627451,255
B0000BX8MA,4.533333333333333,255
B00JLHVX36,4.603174603174603,252
B07L8RZC3C,4.738095238095238,252
B018HB2QFU,4.190476190476191,252
B00CIXVITO,4.848605577689243,251
B015OU8W3M,4.438247011952191,251
B0006O8Q7Y,4.376,250
B000WD3XBI,3.8835341365461846,249
B07P5X2F4X,4.686746987951807,249
B078WM314M,4.634538152610442,249
B00IZEUFIA,4.746987951807229,249
B07XV8C1G5,4.421052631578948,247
B07DLR7C6H,4.48582995951417,247
B007GE75G0,4.623481781376518,247
B07DLQMN8G,4.417004048582996,247
B07DLRMG95,4.36734693877551,245
B01D7SS1X4,4.644897959183673,245
B07TQLRGJR,4.661224489795918,245
B07PBXRJ7G,4.702040816326531,245
B010F029Y4,4.467213114754099,244
B000PKFJKG,3.1646090534979425,243
B000CBSNRY,4.7860082304526745,243
B00ZY6JHU4,3.5596707818930042,243
B004HKQI9G,4.369294605809128,241
B003D7F4YY,4.643153526970955,241
B01N037GIU,4.245833333333334,240
B01H1NV1RE,4.429166666666666,240
B079CH7PLF,4.698744769874477,239
B009VE38CI,4.334728033472803,239
B01C35QC4W,3.697478991596639,238
B00068Q7LC,4.478813559322034,236
B07SHQ9Y7B,4.86864406779661,236
B0160JBGRA,4.52542372881356,236
B074ZHXF48,4.817796610169491,236
B07H331J4R,3.0213675213675213,234
B01N5C39CX,3.6709401709401708,234
B00HT5HBMO,3.0598290598290596,234
B000I2Q0F4,4.738197424892704,233
B000197NXM,3.2532188841201717,233
B006EFMSSM,4.759656652360515,233
B000067R86,4.708154506437769,233
